box_id,box_type,box_name_ja,jfct_code,jfct_group_no,jfct_group_ja,residual_q,n_records,n_source_A,n_source_B,n_source_C,n_layer_A,n_layer_B,n_layer_C,energy_kcal_n,energy_kcal_mean,energy_kcal_sd,protein_g_n,protein_g_mean,protein_g_sd,fat_g_n,fat_g_mean,fat_g_sd,carbohydrate_g_n,carbohydrate_g_mean,carbohydrate_g_sd,salt_equiv_g_n,salt_equiv_g_mean,salt_equiv_g_sd
02063,P,＜いも類＞ じゃがいも 塊茎 皮つき 生,02063,2,いも及びでん粉類,0,8,0,7,1,8,0,0,4,90.74,59.79,4,1.56,0.7,4,1.8,3.47,4,18.1,7.54,4,0.24,0.44
02064,P,＜いも類＞ じゃがいも 塊茎 皮つき 電子レンジ調理,02064,2,いも及びでん粉類,0,4,0,3,1,4,0,0,4,64.33,11.12,4,2.35,0.24,4,0.19,0.13,4,15.07,3.99,4,0.68,0.45
02065,P,＜いも類＞ じゃがいも 塊茎 皮つき フライドポテト （生を揚げたもの）,02065,2,いも及びでん粉類,0,2,0,0,2,2,0,0,2,139.0,7.07,2,2.75,0.07,2,4.05,0.49,2,22.8,0.57,2,0.04,0.01
03001,P,（砂糖類） 黒砂糖,03001,3,砂糖及び甘味類,0,7,1,5,1,7,0,0,7,374.29,12.87,7,1.07,0.42,7,0.03,0.05,7,93.07,2.92,7,0.06,0.03
03003,P,（砂糖類） 車糖 上白糖,03003,3,砂糖及び甘味類,0,10,6,4,0,10,0,0,10,397.1,3.75,10,0.1,0.15,10,0.01,0.03,10,98.98,0.98,10,0.01,0.02
03005,P,（砂糖類） ざらめ糖 グラニュー糖,03005,3,砂糖及び甘味類,0,5,1,4,0,5,0,0,5,398.79,2.71,5,0.0,0.0,5,0.0,0.0,5,100.0,0.0,5,0.0,0.0
03009,P,（砂糖類） 加工糖 氷砂糖,03009,3,砂糖及び甘味類,0,1,0,1,0,1,0,0,1,400.0,,1,0.0,,1,0.0,,1,100.0,,1,0.0,
03014,P,（砂糖類） 氷糖みつ,03014,3,砂糖及び甘味類,0,3,0,0,3,3,0,0,3,328.33,2.31,3,0.67,0.23,3,0.07,0.06,3,81.33,0.92,3,0.02,0.02
03022,P,（その他） はちみつ,03022,3,砂糖及び甘味類,0,30,14,10,6,30,0,0,30,324.3,11.66,30,0.1,0.16,30,0.01,0.03,29,81.61,1.96,30,0.0,0.01
03023,P,（その他） メープルシロップ,03023,3,砂糖及び甘味類,0,3,1,2,0,3,0,0,3,264.0,3.46,3,0.13,0.12,3,0.0,0.0,3,66.1,0.52,3,0.0,0.0
03026,P,（でん粉糖類） 異性化液糖 ぶどう糖果糖液糖,03026,3,砂糖及び甘味類,0,4,0,4,0,4,0,0,4,60.75,0.29,4,0.15,0.06,4,0.0,0.0,4,15.25,0.06,4,0.1,0.0
03030,P,（砂糖類） てんさい含蜜糖,03030,3,砂糖及び甘味類,0,2,1,1,0,2,0,0,2,393.0,4.24,2,0.3,0.42,2,0.0,0.0,2,98.0,1.27,2,0.4,0.52
04001,P,あずき 全粒 乾,04001,4,豆類,0,2,2,0,0,2,0,0,2,305.0,7.07,2,20.9,1.41,2,1.55,0.07,2,59.15,0.92,2,0.0,0.0
04002,P,あずき 全粒 ゆで,04002,4,豆類,0,2,2,0,0,2,0,0,2,62.66,0.0,2,3.66,0.0,2,0.26,0.0,2,12.79,0.0,2,0.78,0.0
04003,P,あずき ゆで小豆缶詰,04003,4,豆類,0,7,6,1,0,7,0,0,7,191.86,12.08,7,4.66,0.2,7,0.33,0.16,7,44.13,3.03,7,0.09,0.01
04006,P,あずき あん つぶし練りあん,04006,4,豆類,0,7,2,2,3,7,0,0,7,251.0,14.32,7,5.03,0.77,7,0.29,0.13,7,57.63,3.52,7,0.05,0.04
04007,P,いんげんまめ 全粒 乾,04007,4,豆類,0,1,1,0,0,1,0,0,1,310.0,,1,22.5,,1,2.1,,1,57.9,,1,0.0,
04008,P,いんげんまめ 全粒 ゆで,04008,4,豆類,0,3,0,0,3,0,3,0,3,78.33,22.5,3,4.87,2.43,3,0.47,0.15,3,16.63,4.9,3,0.43,0.23
04020,P,そらまめ フライビーンズ,04020,4,豆類,0,2,0,0,2,2,0,0,2,432.5,55.86,2,21.95,3.89,2,19.15,2.33,2,42.95,4.88,2,1.1,0.14
04023,P,だいず ［全粒・全粒製品］ 全粒 黄大豆 国産 乾,04023,4,豆類,0,2,1,0,1,2,0,0,2,404.5,48.79,2,35.3,3.11,2,19.2,3.39,2,33.4,0.14,2,0.0,0.01
